map,result,team1_world_rank,team2_world_rank,1_top_Times played,1_top_wins,1_top_draws,1_top_losses,1_top_Total rounds played,1_top_Rounds won,1_top_Win percent,1_top_Pistol rounds,1_top_Pistol rounds won,1_top_Pistol round win percent,1_top_CT round win percent,1_top_T round win percent,1_All_Times played,1_All_wins,1_All_draws,1_All_losses,1_All_Total rounds played,1_All_Rounds won,1_All_Win percent,1_All_Pistol rounds,1_All_Pistol rounds won,1_All_Pistol round win percent,1_All_CT round win percent,1_All_T round win percent,2_top_Times played,2_top_wins,2_top_draws,2_top_losses,2_top_Total rounds played,2_top_Rounds won,2_top_Win percent,2_top_Pistol rounds,2_top_Pistol rounds won,2_top_Pistol round win percent,2_top_CT round win percent,2_top_T round win percent,2_All_Times played,2_All_wins,2_All_draws,2_All_losses,2_All_Total rounds played,2_All_Rounds won,2_All_Win percent,2_All_Pistol rounds,2_All_Pistol rounds won,2_All_Pistol round win percent,2_All_CT round win percent,2_All_T round win percent
Nuke,-1,28,46,3,0,0,3,80,32,0.0,6,2,0.333,0.351,0.442,3,0,0,3,80,32,0.0,6,2,0.333,0.351,0.442,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6,4,0,2,140,82,0.667,12,7,0.583,0.774,0.436
Ancient,-1,28,46,1,0,0,1,27,11,0.0,2,1,0.5,0.417,0.4,1,0,0,1,27,11,0.0,2,1,0.5,0.417,0.4,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6,4,0,2,135,86,0.667,12,8,0.667,0.756,0.578
Mirage,1,1,223,7,4,0,3,182,106,0.571,14,10,0.714,0.638,0.506,7,4,0,3,182,106,0.571,14,10,0.714,0.638,0.506,6,4,0,2,151,80,0.667,12,7,0.583,0.556,0.511,6,4,0,2,151,80,0.667,12,7,0.583,0.556,0.511
Ancient,1,1,223,2,2,0,0,54,32,1.0,4,3,0.75,0.567,0.625,2,2,0,0,54,32,1.0,4,3,0.75,0.567,0.625,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Overpass,-1,14,101,4,2,0,2,106,60,0.5,8,4,0.5,0.623,0.489,4,2,0,2,106,60,0.5,8,4,0.5,0.623,0.489,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Dust2,1,14,101,9,5,0,4,234,117,0.556,18,10,0.556,0.576,0.444,9,5,0,4,234,117,0.556,18,10,0.556,0.576,0.444,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Vertigo,1,14,101,2,1,0,1,58,28,0.5,4,3,0.75,0.5,0.467,2,1,0,1,58,28,0.5,4,3,0.75,0.5,0.467,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Dust2,1,3,46,6,3,0,3,157,84,0.5,12,6,0.5,0.62,0.465,6,3,0,3,157,84,0.5,12,6,0.5,0.62,0.465,1,1,0,0,28,16,1.0,2,2,1.0,0.615,0.533,4,4,0,0,97,64,1.0,8,5,0.625,0.653,0.667
Inferno,1,3,46,8,5,0,3,207,106,0.625,16,7,0.438,0.612,0.422,9,6,0,3,226,122,0.667,18,9,0.5,0.637,0.442,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9,4,0,5,233,116,0.444,18,8,0.444,0.565,0.412
Nuke,-1,7,1,9,6,0,3,248,135,0.667,18,10,0.556,0.634,0.444,9,6,0,3,248,135,0.667,18,10,0.556,0.634,0.444,6,5,0,1,177,95,0.833,12,7,0.583,0.588,0.495,7,6,0,1,204,111,0.857,14,8,0.571,0.598,0.5
Overpass,1,7,1,4,1,0,3,114,51,0.25,8,4,0.5,0.491,0.404,4,1,0,3,114,51,0.25,8,4,0.5,0.491,0.404,3,2,0,1,79,43,0.667,6,2,0.333,0.622,0.441,3,2,0,1,79,43,0.667,6,2,0.333,0.622,0.441
Mirage,1,7,1,5,2,0,3,138,64,0.4,10,3,0.3,0.444,0.491,5,2,0,3,138,64,0.4,10,3,0.3,0.444,0.491,7,4,0,3,182,106,0.571,14,10,0.714,0.638,0.506,8,5,0,3,208,122,0.625,16,12,0.75,0.647,0.511
